0,1,2,3,4,5,6,7,8
ID,Видимость,Артикул,Название,Цена,Кол-во,Нов,Хит,Акция
10208,✔,a_10208,Агастахе Blue Fortune,0,0,,,
6914,✔,a_6914,Агастахе Blue Fortune c2,790,0,,,
6913,✔,a_6913,Агастахе Blue Fortune p9,390,0,,,
10210,✔,a_10210,Агастахе морщинистый Alba,0,0,,,
6916,✔,a_6916,Агастахе морщинистый Alba c2,790,0,,,
6915,✔,a_6915,Агастахе морщинистый Alba p9 ,390,0,,,
10209,✔,a_10209,Агастахе морщинистый Alba p9,0,0,,,
10211,✔,a_10211,Адиантум стоповидный,0,0,,,
6918,✔,a_6918,Адиантум стоповидный c2,790,0,,,
6917,✔,a_6917,Адиантум стоповидный p9,390,0,,,
10212,✔,a_10212,Аквилегия альпийская,0,0,,,
6919,✔,a_6919,Аквилегия альпийская  p9,390,0,,,
10213,✔,a_10213,Аквилегия гибридная Earlybird,0,0,,,
6920,✔,a_6920,Аквилегия гибридная Earlybird  c2,790,0,,,
10214,✔,a_10214,Аконит двухцветный Bicolor,0,0,,,
6922,✔,a_6922,Аконит двухцветный Bicolor c2,790,0,,,
6921,✔,a_6921,Аконит двухцветный Bicolor p9,390,0,,,
10215,✔,a_10215,Аконит двухцветный Stainless Steel,0,0,,,
6924,✔,a_6924,Аконит двухцветный Stainless Steel c2,790,0,,,
